,site_no,station_nm,dec_lat_va,dec_long_va,huc_cd,tz_cd,flow,flow_unit,flow_dt,stage,stage_unit,stage_dt,flow_chg,flow_chg_percent,stage_chg,stage_chg_percent,USGSstationID,location name,proximity,river/water-body name,nws shef id,location type,usgs id,latitude,longitude,wfo,rfc,state,county,wrr,timezone,inundation,elevation,action stage,flood stage,moderate flood stage,major flood stage,flood stage unit,coeid,hydrograph page,pedts,in service,hemisphere,low water threshold value / units,forecast status,display low water impacts,low flow display,give data attribution,attribution wording,fema wms,probabilistic site,weekly chance probabilistic enabled,short-term probabilistic enabled,chance of exceeding probabilistic enabled,nrldb vertical datum name,nrldb vertical datum,navd88 vertical datum,ngvd29 vertical datum,msl vertical datum,other vertical datum,site_no_shift,stage_chg_percent_shift,river/water-body name_shift
5534,8329900.0,"NORTH FLOODWAY CHANNEL NEAR ALAMEDA, NM",35.1981,-106.6,13020203.0,MST,Mnt,cfs,2022-08-14 16:50:00,0.12,ft,2022-08-14 16:50:00,,,0.01,9.09,8329900.0,North Floodway Channel near Alameda,at,AMAFCA,anfn5,River Stage/Flow Location,8329900.0,35.198056,106.599722,abq,wgrfc,nm,1.0,Rio Grande Region,MST,No,,0.0,0.0,0.0,0.0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=abq&gage=anfn5,hgirg,Yes,W,-9999 Feet,Data Point,No,No,Yes,US Geological Survey,No,No,,,,NGVD 1929,5015.0,,,,,8330775.0,-2.02,AMAFCA
5536,8330775.0,"SOUTH DIV CHANNEL ABV TIJERAS ARROYO NR ALBQ., NM",35.0028,-106.657,13020203.0,MST,0,cfs,2022-08-14 16:50:00,0.97,ft,2022-08-14 16:50:00,,,-0.02,-2.02,8330775.0,South Diversion Channel above Tijeras Arroyo,at,AMAFCA,sdvn5,River Stage/Flow Location,8330775.0,35.002778,106.657222,abq,wgrfc,nm,1.0,Rio Grande Region,MST,No,,0.0,0.0,0.0,0.0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=abq&gage=sdvn5,hgirg,Yes,W,-9999 Feet,Data Point,No,No,No,US Geological Survey,No,No,,,,,,,,,,2121500.0,1.27,Abbotts Creek
1029,2121500.0,"ABBOTTS CREEK AT LEXINGTON, NC",35.8069,-80.2347,3040103.0,EST,17.8,cfs,2022-08-14 18:30:00,3.19,ft,2022-08-14 18:30:00,2.3,14.84,0.04,1.27,2121500.0,Lexington,near,Abbotts Creek,abbn7,River Stage/Flow Location,2121500.0,35.806944,80.234722,rah,serfc,nc,57.0,South Atlantic-Gulf Region,EST,No,,14.0,16.0,23.0,31.0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=rah&gage=abbn7,hgirg,Yes,W,-9999 Feet,Data Point,No,No,Yes,US Geological Survey,No,No,,,,NAVD88,618.26,618.26 ft,,,,14200700.0,-0.23,Abiqua Creek
6656,14200700.0,"ABIQUA CREEK AT SILVERTON, OR",45.0314,-122.791,17090009.0,PST,20.8,cfs,2022-08-14 15:00:00,4.28,ft,2022-08-14 15:00:00,-0.6,-2.8,-0.01,-0.23,14200700.0,Silverton,at,Abiqua Creek,aqso3,River Stage/Flow Location,14200700.0,45.0314,122.7908,pqr,nwrfc,or,47.0,Pacific Northwest Region,PST,No,,11.0,12.3,0.0,0.0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=pqr&gage=aqso3,hgirg,Yes,W,-9999 Feet,No routine,No,No,Yes,US Geological Survey,Yes,No,,,,NAVD88,193.0,193,,,,7375222.0,-0.6,Abita River
4975,7375222.0,"Abita River north of Abita Springs, LA",30.4821,-90.039,8090201.0,CST,0,,0000-00-00 00:00:00,9.88,ft,2022-08-14 17:30:00,,,-0.06,-0.6,7375222.0,Abita Springs at Hwy 36,at,Abita River,asbl1,River Stage/Flow Location,7375222.0,30.481667,90.039444,lix,lmrfc,la,103.0,South Atlantic-Gulf Region,CST,No,,0.0,0.0,0.0,0.0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=lix&gage=asbl1,hgirg,Yes,W,-9999 Feet,No routine,No,No,Yes,US Geological Survey,Yes,No,,,,NAVD88,,,,,,1410500.0,-36.07,Absecon Creek
311,1410500.0,Absecon Creek at Absecon NJ,39.4303,-74.5206,2040302.0,EST,0,,0000-00-00 00:00:00,-1.01,ft,2022-08-14 18:55:00,,,0.66,-36.07,1410500.0,Absecon,at,Absecon Creek,absn4,River Stage/Flow Location,1410500.0,39.430278,74.520556,phi,marfc,nj,1.0,Mid Atlantic Region,EST,No,0,0.0,0.0,0.0,0.0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=phi&gage=absn4,hpirg,Yes,W,-9999 Feet,Data Point,Yes,No,Yes,US Geological Survey,No,No,,,,NGVD29,0.0,,0,,,1654000.0,-0.61,Accotink Creek
795,1654000.0,"ACCOTINK CREEK NEAR ANNANDALE, VA",38.8129,-77.2283,2070010.0,EST,4.7,cfs,2022-08-14 18:45:00,1.63,ft,2022-08-14 18:45:00,-0.31,-6.19,-0.01,-0.61,1654000.0,Annandale,near,Accotink Creek,anav2,River Stage/Flow Location,1654000.0,38.812778,77.228611,lwx,marfc,va,59.0,Mid Atlantic Region,EST,No,,8.0,9.5,11.0,15.0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=lwx&gage=anav2,hgirg,Yes,W,-9999 Feet,Data Point,No,No,Yes,US Geological Survey,Yes,No,,,,NAVD88,190.6,,,,,8030730.0,1.0,Adams Bayou
5079,8030730.0,"Adams Bayou at FM 3247 nr Orange, TX",30.1319,-93.7866,12010005.0,CST,0,,0000-00-00 00:00:00,1.01,ft,2022-08-14 17:45:00,,,0.01,1.0,8030730.0,FM 4247,at,Adams Bayou,oabt2,River Stage/Flow Location,8030730.0,30.1319,93.7866,lch,wgrfc,tx,361.0,Texas-Gulf Region,CST,No,,5.0,6.0,8.0,10.0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=lch&gage=oabt2,hgirz,Yes,W,-9999 Feet,Data Point,No,No,Yes,US Geological Survey,No,No,,,,NAVD88,0.0,,,,,8030800.0,5.08,Adams Bayou
5080,8030800.0,"Adams Bayou at SH87 nr Orange, TX",30.0935,-93.7498,12010005.0,CST,0,,0000-00-00 00:00:00,1.24,ft,2022-08-14 17:45:00,,,0.06,5.08,8030800.0,SH 87,at,Adams Bayou,admt2,River Stage/Flow Location,8030800.0,30.0934,93.7497,lch,wgrfc,tx,361.0,Texas-Gulf Region,CST,No,,3.5,4.0,5.0,6.0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=lch&gage=admt2,hgirz,Yes,W,-9999 Feet,Data Point,No,No,Yes,US Geological Survey,No,No,,,,NAVD88,0.0,,,,,5532000.0,-0.91,Addison Creek
3618,5532000.0,"ADDISON CREEK AT BELLWOOD, IL",41.8817,-87.8692,7120004.0,CST,1.23,cfs,2022-08-14 16:15:00,1.09,ft,2022-08-14 16:15:00,-0.11,-8.21,-0.01,-0.91,5532000.0,Bellwood,at,Addison Creek,bwdi2,River Stage/Flow Location,5532000.0,41.881856,87.868933,lot,ncrfc,il,31.0,Upper Mississippi Region,CST,No,,8.0,9.0,11.0,12.0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=lot&gage=bwdi2,hgirg,Yes,W,1 Feet,No routine,Yes,No,Yes,US Geological Survey,No,No,,,,NAVD88,617.54,617.54,,,,9512450.0,-19.79,Agua Fria River
