,site_no,station_nm,dec_lat_va,dec_long_va,huc_cd,tz_cd,flow,flow_unit,flow_dt,stage,stage_unit,stage_dt,flow_chg,flow_chg_percent,stage_chg,stage_chg_percent,USGSstationID,location name,proximity,river/water-body name,nws shef id,location type,usgs id,latitude,longitude,wfo,rfc,state,county,wrr,timezone,inundation,elevation,action stage,flood stage,moderate flood stage,major flood stage,flood stage unit,coeid,hydrograph page,pedts,in service,hemisphere,low water threshold value / units,forecast status,display low water impacts,low flow display,give data attribution,attribution wording,fema wms,probabilistic site,weekly chance probabilistic enabled,short-term probabilistic enabled,chance of exceeding probabilistic enabled,nrldb vertical datum name,nrldb vertical datum,navd88 vertical datum,ngvd29 vertical datum,msl vertical datum,other vertical datum,site_no_shift,stage_chg_percent_shift,river/water-body name_shift,jam_status
5534,8329900.0,"NORTH FLOODWAY CHANNEL NEAR ALAMEDA, NM",35.1981,-106.6,13020203.0,MST,Mnt,cfs,2022-08-14 16:50:00,0.12,ft,2022-08-14 16:50:00,,,0.01,9.09,8329900.0,North Floodway Channel near Alameda,at,AMAFCA,anfn5,River Stage/Flow Location,8329900.0,35.198056,106.599722,abq,wgrfc,nm,1.0,Rio Grande Region,MST,No,,0.0,0.0,0.0,0.0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=abq&gage=anfn5,hgirg,Yes,W,-9999 Feet,Data Point,No,No,Yes,US Geological Survey,No,No,,,,NGVD 1929,5015.0,,,,,8330775.0,-2.02,AMAFCA,jam
1700,2419988.0,ALABAMA RIVER AT MONTGOMERY AL,32.3922,-86.3154,3150201.0,CST,0,,0000-00-00 00:00:00,22.9,ft,2022-08-14 17:00:00,,,0.12,0.53,2419988.0,Montgomery,at,Alabama River,mgma1,River Stage/Flow Location,2419988.0,32.392222,86.315278,bmx,serfc,al,0.0,South Atlantic-Gulf Region,CST,No,103.3 ft,26.0,35.0,45.0,53.0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=bmx&gage=mgma1,hgirg,Yes,W,-9999 Feet,Year-round,Yes,No,No,US Geological Survey,Yes,Yes,Yes,No,Yes,NAVD88,103.3,,103.3 ft,,,2421350.0,-0.01,Alabama River,jam
1710,2427506.0,ALABAMA RIVER BELOW MILLERS FERRY L&D NR CAMDEN AL,32.1001,-87.3978,3150203.0,CST,0,,0000-00-00 00:00:00,34.75,ft,2022-08-14 17:00:00,,,0.06,0.17,2427506.0,Miller&#039;s Ferry,near,Alabama River,mrfa1,River Stage/Flow Location,2427506.0,32.100145,87.397773,mob,serfc,al,0.0,South Atlantic-Gulf Region,CST,No,0 ft,61.0,66.0,80.0,83.0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=mob&gage=mrfa1,htirg,Yes,W,0 Feet,Year-round,No,No,No,US Geological Survey,Yes,Yes,Yes,Yes,Yes,NGVD 1929,0.0,,0 ft,,,2428401.0,-1.75,Alabama River,jam
6045,11172955.0,ALAMEDA C BL DIV DAM NR SUNOL CA,37.4986,-121.779,18050004.0,PST,0.06,cfs,2022-08-14 15:30:00,3.79,ft,2022-08-14 15:30:00,0.04,200.0,0.08,2.16,11172955.0,Div Dam near Sunol,below,Alameda Creek,acbc1,River Stage/Flow Location,11172955.0,37.498611,121.779444,mtr,cnrfc,ca,1.0,California Region,PST,No,,0.0,0.0,0.0,0.0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=mtr&gage=acbc1,hgirg,Yes,W,-9999 Feet,No routine,No,No,Yes,US Geological Survey,No,No,,,,NAVD 1988,835.55,835.55 ft,,,,11173510.0,-0.21,Alameda Creek,jam
1420,2316000.0,"ALAPAHA RIVER NEAR ALAPAHA, GA",31.3853,-83.1935,3110202.0,EST,312,cfs,2022-08-14 18:00:00,6.4,ft,2022-08-14 18:00:00,5.0,1.63,0.04,0.63,2316000.0,Alapaha,at,Alapaha River,alag1,River Stage/Flow Location,2316000.0,31.384167,83.1925,tae,serfc,ga,19.0,South Atlantic-Gulf Region,EST,No,,220.0,223.0,226.0,0.0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=tae&gage=alag1,hgirg,Yes,W,209 Feet,Data Point,No,No,Yes,US Geological Survey,Yes,No,,,,,0.0,207.6,,,0,2317500.0,-0.25,Alapaha River,jam
1859,3025500.0,"Allegheny River at Franklin, PA",41.3895,-79.8203,5010003.0,EST,2300,cfs,2022-08-14 18:00:00,2.92,ft,2022-08-14 18:00:00,40.0,1.77,0.02,0.69,3025500.0,Franklin,at,Allegheny River,frkp1,River Stage/Flow Location,3025500.0,41.389444,79.820556,pbz,ohrfc,pa,121.0,Ohio Region,EST,No,955.84 ft,13.0,17.0,19.0,21.0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=pbz&gage=frkp1,hgirg,Yes,W,-9999 Feet,Year-round,No,No,Yes,US Geological Survey,Yes,Yes,Yes,Yes,Yes,NGVD 1929,955.84,,955.84 ft,,,3033000.0,-0.09,Allegheny River,jam
1900,3049640.0,"Allegheny R at CW Bill Young L&D  at Acmetonia, PA",40.5362,-79.8148,5010009.0,EST,0,,0000-00-00 00:00:00,9.81,ft,2022-08-14 18:45:00,,,0.03,0.31,3049640.0,C.W. Bill Young Lock and Dam,at,Allegheny River,acmp1,River Stage/Flow Location,3049640.0,40.536111,79.815,pbz,ohrfc,pa,3.0,Ohio Region,EST,No,725.52,15.0,17.0,20.0,23.0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=pbz&gage=acmp1,hpirg,Yes,W,-9999 Feet,Year-round,No,No,Yes,US Army Corps of Engineers,Yes,Yes,Yes,Yes,Yes,NGVD29,725.52,725.8,725.52,,740,3049680.0,-0.7,Allegheny River,jam
1323,2226000.0,"ALTAMAHA RIVER AT DOCTORTOWN, GA",31.6547,-81.8275,3070106.0,EST,5050,cfs,2022-08-14 18:00:00,6.16,ft,2022-08-14 18:00:00,30.0,0.6,0.03,0.49,2226000.0,Doctortown,at,Altamaha River,dctg1,River Stage/Flow Location,2226000.0,31.654444,81.828056,jax,serfc,ga,305.0,South Atlantic-Gulf Region,EST,No,,10.0,12.0,14.0,15.5,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=jax&gage=dctg1,hgirg,Yes,W,2 Feet,Year-round,No,No,Yes,US Geological Survey,Yes,Yes,Yes,Yes,Yes,NAD27,23.6,23.6,,,,2226160.0,-4.47,Altamaha River,jam
41,1054000.0,"Androscoggin River near Gorham, NH",44.4358,-71.1903,1040001.0,EST,1490,cfs,2022-08-14 18:15:00,3.17,ft,2022-08-14 18:15:00,100.0,7.19,0.1,3.26,1054000.0,Gorham,at,Androscoggin River,grmn3,River Stage/Flow Location,1054000.0,44.435833,71.1903,gyx,nerfc,nh,0.0,New England Region,EST,No,,7.0,8.0,10.0,12.0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=gyx&gage=grmn3,hgirg,Yes,W,0 Feet,Year-round,No,No,Yes,US Geological Survey,Yes,Yes,Yes,Yes,Yes,NGVD 29,832.88,,,,,1054500.0,-1.75,Androscoggin River,jam
5094,8036500.0,"Angelina Rv nr Alto, TX",31.6718,-94.9527,12020004.0,CST,21.1,cfs,2022-08-14 17:30:00,9.92,ft,2022-08-14 17:30:00,0.27,1.3,0.01,0.1,8036500.0,Alto,near,Angelina River,alot2,River Stage/Flow Location,8036500.0,31.67184,94.95271,shv,wgrfc,tx,5.0,Texas-Gulf Region,CST,No,194.30 ft,28.5,29.0,31.0,33.0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=shv&gage=alot2,hgirg,Yes,W,0 Feet,High Water,No,No,Yes,US Geological Survey,Yes,Yes,Yes,No,Yes,NGVD 1929,214.3,,194.30 ft,,,8037180.0,-0.01,Angelina River,jam
